no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status
0.0,0.0,0.0,0.0,1,0.0,1,1.5321100917431192,-1.0,0.4,-0.9333333333333333,1,0.0,0.0,0.0,-0.8833333333333334,0.0,1
0.0,0.0,0.5,0.5,0,0.0,1,-0.47706422018348627,0.0,0.6,-0.6666666666666666,2,0.0,0.0,0.0,0.18538461538461548,1.0,1
-1.0,0.0,0.5,-0.5,1,0.0,1,-0.5137614678899083,0.0,-1.2,0.8,2,0.0,0.0,0.0,-1.0115384615384617,0.0,0
0.0,0.0,-0.5,0.0,1,0.0,1,1.4128440366972477,0.0,-0.6,0.26666666666666666,2,0.0,0.0,0.0,0.01410256410256403,0.0,0
0.0,0.0,0.0,-0.5,0,0.0,1,-0.08256880733944955,0.0,-0.8,-0.3333333333333333,2,0.0,0.0,0.0,-0.126923076923077,0.0,0
0.0,0.0,-0.5,0.0,2,0.0,1,2.6513761467889907,0.0,0.2,-0.2,2,0.0,0.0,0.0,0.39871794871794863,1.0,0
0.0,0.0,0.0,0.5,1,0.0,1,-0.21100917431192662,-1.0,0.4,-0.06666666666666667,2,0.0,0.0,0.0,0.0,1.0,1
0.0,0.0,0.0,0.5,1,0.0,4,0.23853211009174313,0.0,0.8,0.6666666666666666,2,0.0,0.0,0.0,0.15794871794871787,1.0,1
1.0,0.0,-0.5,1.0,1,0.0,1,0.5871559633027523,0.0,-0.2,-0.6666666666666666,1,0.0,0.0,0.0,-0.0653846153846153,1.0,1
0.0,0.0,-0.5,1.5,1,0.0,4,-0.11926605504587157,0.0,0.4,0.13333333333333333,2,0.0,0.0,0.0,0.8715384615384614,3.0,1
-1.0,0.0,0.0,-1.0,0,0.0,1,-0.5229357798165137,0.0,0.2,-0.3333333333333333,2,0.0,0.0,0.0,-0.3697435897435898,0.0,1
-1.0,0.0,0.5,-0.5,1,0.0,4,-0.2018348623853211,0.0,-0.8,0.9333333333333333,2,0.0,0.0,0.0,1.05,1.0,1
0.0,0.0,0.5,-0.5,0,0.0,1,-0.24770642201834864,0.0,0.6,0.6666666666666666,2,0.0,0.0,0.0,-0.29358974358974366,0.0,0
-1.0,0.0,0.5,-1.0,1,0.0,1,0.3486238532110092,0.0,0.6,0.26666666666666666,2,0.0,0.0,0.0,-0.2423076923076924,2.0,0
